filename,published,modified,expires,deprecated
install-java-on-debian.md,2017-06-01 00:00:00,2017-06-01 00:00:00,,False
install-java-on-ubuntu-16-04.md,2017-05-30 00:00:00,2017-05-30 00:00:00,,False
java-development-wildfly-centos-7.md,2015-09-18 00:00:00,2015-09-18 00:00:00,,False
manage-cpan-modules-with-cpan-minus.md,2010-04-12 00:00:00,2011-11-16 00:00:00,,False
manage-development-with-the-mantis-bug-tracker-on-centos-5.md,2011-04-05 00:00:00,2011-04-29 00:00:00,,True
manage-development-with-the-mantis-bug-tracker-on-debian-5-lenny.md,2010-02-16 00:00:00,2011-04-29 00:00:00,,True
manage-development-with-the-mantis-bug-tracker-on-fedora-14.md,2011-04-05 00:00:00,2013-10-04 00:00:00,,True
track-bugs-and-manage-development-with-bug-genie.md,2010-05-03 00:00:00,2013-10-04 00:00:00,,True
track-bugs-and-manage-development-with-flyspray.md,2010-05-03 00:00:00,2013-10-04 00:00:00,,True
apache-tomcat-on-debian-5-lenny.md,2009-09-23 00:00:00,2012-10-08 00:00:00,,True
apache-tomcat-on-debian-6-squeeze.md,2011-02-17 00:00:00,2011-05-13 00:00:00,,True
apache-tomcat-on-fedora-12.md,2010-07-23 00:00:00,2011-04-29 00:00:00,,True
apache-tomcat-on-fedora-13.md,2010-07-23 00:00:00,2011-04-29 00:00:00,,True
apache-tomcat-on-fedora-14.md,2010-12-07 00:00:00,2013-09-27 00:00:00,,True
apache-tomcat-on-ubuntu-10-04-lucid.md,2010-07-23 00:00:00,2013-09-27 00:00:00,,True
apache-tomcat-on-ubuntu-10-10-maverick.md,2010-12-07 00:00:00,2012-10-08 00:00:00,,True
apache-tomcat-on-ubuntu-12-04-precise-pangolin.md,2012-11-13 00:00:00,2012-11-13 00:00:00,,True
apache-tomcat-on-ubuntu-16-04.md,2016-05-09 00:00:00,2016-05-09 00:00:00,,False
apache-tomcat-on-ubuntu-9-10-karmic.md,2010-07-23 00:00:00,2011-04-29 00:00:00,,True
build-aspnetmono-applications-with-modmono-and-apache-on-debian-5-lenny.md,2010-08-05 00:00:00,2013-09-27 00:00:00,,True
build-aspnetmono-applications-with-modmono-and-apache-on-ubuntu-10-04-lucid.md,2010-08-05 00:00:00,2013-09-27 00:00:00,,True
build-aspnetmono-applications-with-modmono-and-apache-on-ubuntu-9-10-karmic.md,2010-08-01 00:00:00,2011-06-15 00:00:00,,True
cakephp-on-debian-5-lenny.md,2010-05-26 00:00:00,2014-02-10 00:00:00,,True
catalyst-and-modperl.md,2010-01-29 00:00:00,2013-09-27 00:00:00,,True
deploy-smalltalk-applications-with-seaside.md,2010-01-12 00:00:00,2013-09-27 00:00:00,,True
django-apache-and-modpython-on-centos-5.md,2010-02-03 00:00:00,2013-09-27 00:00:00,,True
django-apache-and-modpython-on-debian-5-lenny.md,2009-09-10 00:00:00,2013-09-27 00:00:00,,True
django-apache-and-modpython-on-ubuntu-10-04-lucid.md,2010-05-13 00:00:00,2013-09-27 00:00:00,,True
django-apache-and-modpython-on-ubuntu-8-04-hardy.md,2009-09-10 00:00:00,2011-05-17 00:00:00,,True
django-apache-and-modpython-on-ubuntu-9-04-jaunty.md,2009-08-31 00:00:00,2011-05-17 00:00:00,,True
django-apache-and-modpython-on-ubuntu-9-10-karmic.md,2010-02-05 00:00:00,2011-05-17 00:00:00,,True
django-apache-and-modwsgi-on-centos-5.md,2010-05-18 00:00:00,2011-08-22 00:00:00,,True
django-apache-and-modwsgi-on-debian-5-lenny.md,2010-05-11 00:00:00,2012-10-08 00:00:00,,True
django-apache-and-modwsgi-on-debian-6-squeeze.md,2011-02-17 00:00:00,2011-05-13 00:00:00,,True
django-apache-and-modwsgi-on-fedora-14.md,2011-04-05 00:00:00,2013-09-26 00:00:00,,True
django-apache-and-modwsgi-on-ubuntu-10-04-lucid.md,2010-05-18 00:00:00,2011-08-22 00:00:00,,True
django-apache-and-modwsgi-on-ubuntu-10-10-maverick.md,2010-10-25 00:00:00,2012-10-08 00:00:00,,True
django-apache-and-modwsgi-on-ubuntu-9-10-karmic.md,2010-05-18 00:00:00,2011-05-17 00:00:00,,True
installing-apache-tomcat-on-ubuntu-8-04-lts-hardy.md,2009-09-23 00:00:00,2011-04-29 00:00:00,,True
installing-apache-tomcat-on-ubuntu-9-04-jaunty.md,2009-08-06 00:00:00,2011-04-29 00:00:00,,True
sinatra-framework-and-nginx-on-debian-5-lenny.md,2011-01-21 00:00:00,2012-10-08 00:00:00,,True
sinatra-framework-and-nginx-on-debian-6-squeeze.md,2011-02-17 00:00:00,2013-09-27 00:00:00,,True
sinatra-framework-and-nginx-on-fedora-14.md,2011-04-05 00:00:00,2013-09-26 00:00:00,,True
symfony-on-centos-5.md,2010-06-08 00:00:00,2013-09-27 00:00:00,2015-09-27 00:00:00,True
webpy-on-debian-5-lenny.md,2010-04-14 00:00:00,2012-10-08 00:00:00,,True
webpy-on-debian-6-squeeze.md,2011-02-17 00:00:00,2013-09-27 00:00:00,,True
webpy-on-ubuntu-10-10-maverick.md,2011-01-25 00:00:00,2012-10-08 00:00:00,,True
webpy-on-ubuntu-12-04-precise-pangolin.md,2012-10-25 00:00:00,2013-09-27 00:00:00,,True
yesod-nginx-mysql-on-debian-7-wheezy.md,2014-09-25 00:00:00,2014-09-25 00:00:00,,False
how-to-install-nodejs-and-nginx-on-debian.md,2015-01-14 00:00:00,2017-04-11 00:00:00,,False
set-up-and-install-nodejs.md,2014-12-18 00:00:00,2017-02-15 00:00:00,,False
use-nightmarejs-to-automate-headless-browsing.md,2017-10-09 00:00:00,2017-10-09 00:00:00,,False
ruby-on-rails-apache-debian-8.md,2013-07-13 00:00:00,2017-09-13 00:00:00,,False
ruby-on-rails-nginx-debian-8.md,2015-06-25 00:00:00,2015-06-25 00:00:00,,False
ruby-on-rails-with-apache-on-debian-6-squeeze.md,2011-04-05 00:00:00,2013-09-26 00:00:00,,True
ruby-on-rails-with-apache-on-debian-7-wheezy.md,2013-09-13 00:00:00,2013-09-13 00:00:00,,False
ruby-on-rails-with-apache-on-ubuntu-10-04-lucid.md,2010-08-02 00:00:00,2011-08-22 00:00:00,,True
